[1775648702] INFO [prep-sidecar 2026-04-08T11:45:02.454Z] ensureRunning called (db=/Users/hsmy/Dev/AGRAFES/tauri-shell/public/demo/agrafes_demo.db)
[1775648702] INFO [prep-sidecar 2026-04-08T11:45:02.454Z] checking sidecar portfile at /Users/hsmy/Dev/AGRAFES/tauri-shell/public/demo/.agrafes_sidecar.json
[1775648702] INFO [prep-sidecar 2026-04-08T11:45:02.466Z] spawning new sidecar process
[1775648702] INFO [prep-sidecar 2026-04-08T11:45:02.469Z] resolved sidecar path candidate: /Users/hsmy/Dev/AGRAFES/tauri-shell/src-tauri/target/debug/multicorpus (exists=false)
[1775648702] INFO [prep-sidecar 2026-04-08T11:45:02.469Z] spawn config | {"at":"2026-04-08T11:45:02.469Z","program":"multicorpus","args":["serve","--db","/Users/hsmy/Dev/AGRAFES/tauri-shell/public/demo/agrafes_demo.db","--host","127.0.0.1","--port","0","--token","auto"],"cwd":null,"dbPath":"/Users/hsmy/Dev/AGRAFES/tauri-shell/public/demo/agrafes_demo.db"}
[1775648702] INFO [prep-sidecar 2026-04-08T11:45:02.470Z] waiting for sidecar startup JSON | {"timeoutMs":12000,"startedAt":"2026-04-08T11:45:02.470Z","deadlineAt":"2026-04-08T11:45:14.470Z"}
[1775648702] INFO [prep-sidecar 2026-04-08T11:45:02.476Z] sidecar spawned (pid=83534) after 6ms
[1775648706] INFO [prep-sidecar 2026-04-08T11:45:06.749Z] ensureRunning called (db=/Users/hsmy/Dev/AGRAFES/tauri-shell/public/demo/agrafes_demo.db)
[1775648706] INFO [prep-sidecar 2026-04-08T11:45:06.749Z] checking sidecar portfile at /Users/hsmy/Dev/AGRAFES/tauri-shell/public/demo/.agrafes_sidecar.json
[1775648706] INFO [prep-sidecar 2026-04-08T11:45:06.754Z] spawning new sidecar process
[1775648706] INFO [prep-sidecar 2026-04-08T11:45:06.757Z] resolved sidecar path candidate: /Users/hsmy/Dev/AGRAFES/tauri-shell/src-tauri/target/debug/multicorpus (exists=false)
[1775648706] INFO [prep-sidecar 2026-04-08T11:45:06.757Z] spawn config | {"at":"2026-04-08T11:45:06.757Z","program":"multicorpus","args":["serve","--db","/Users/hsmy/Dev/AGRAFES/tauri-shell/public/demo/agrafes_demo.db","--host","127.0.0.1","--port","0","--token","auto"],"cwd":null,"dbPath":"/Users/hsmy/Dev/AGRAFES/tauri-shell/public/demo/agrafes_demo.db"}
[1775648706] INFO [prep-sidecar 2026-04-08T11:45:06.758Z] waiting for sidecar startup JSON | {"timeoutMs":12000,"startedAt":"2026-04-08T11:45:06.758Z","deadlineAt":"2026-04-08T11:45:18.758Z"}
[1775648706] INFO [prep-sidecar 2026-04-08T11:45:06.760Z] sidecar spawned (pid=83557) after 2ms
[1775648717] INFO [prep-sidecar 2026-04-08T11:45:17.890Z] startup payload candidate | {"run_id":"46d412f2-0ff1-492a-8fc9-2f8d922540ff","status":"already_running","host":"127.0.0.1","port":60967,"pid":83551,"started_at":"2026-04-08T11:45:15Z","portfile":"/Users/hsmy/Dev/AGRAFES/tauri-shell/public/demo/.agrafes_sidecar.json","token_required":true,"token":"pwglEfBQ5urLdKwWtcODiMgqs42cV2Rc","log":"/Users/hsmy/Dev/AGRAFES/tauri-shell/public/demo/runs/46d412f2-0ff1-492a-8fc9-2f8d922540ff/run.log","created_at":"2026-04-08T11:45:17Z"}
[1775648717] INFO [prep-sidecar 2026-04-08T11:45:17.892Z] startup payload selected | {"run_id":"46d412f2-0ff1-492a-8fc9-2f8d922540ff","status":"already_running","host":"127.0.0.1","port":60967,"pid":83551,"started_at":"2026-04-08T11:45:15Z","portfile":"/Users/hsmy/Dev/AGRAFES/tauri-shell/public/demo/.agrafes_sidecar.json","token_required":true,"token":"pwglEfBQ5urLdKwWtcODiMgqs42cV2Rc","log":"/Users/hsmy/Dev/AGRAFES/tauri-shell/public/demo/runs/46d412f2-0ff1-492a-8fc9-2f8d922540ff/run.log","created_at":"2026-04-08T11:45:17Z"}
[1775648717] INFO [prep-sidecar 2026-04-08T11:45:17.892Z] polling sidecar health on http://127.0.0.1:60967/health | {"timeoutMs":15000,"initialDelayMs":0,"intervalMs":350}
[1775648717] INFO [prep-sidecar 2026-04-08T11:45:17.893Z] health polling started | {"baseUrl":"http://127.0.0.1:60967","healthUrl":"http://127.0.0.1:60967/health","loopbackBackendMode":"tauri_only","globalFetchTimeoutMs":1500,"timeoutMs":15000,"initialDelayMs":0,"intervalMs":350,"perAttemptTimeoutMs":3500,"startedAt":"2026-04-08T11:45:17.893Z"}
